"title","description"
"乗霄山・虹鎮","乗霄山に佇む外の世界と隔絶された古い里。雪景色に映える紅葉や趣ある建物が、静かで美しい風景を作り出している。
虹鎮で暮らす人々は、歳主を神として敬い、長きにわたり幸せに暮らしている。乗霄山は季節を問わず雪に覆われているが、山間から湧き出る温泉が春のような暖かさをもたらしてくれる。"
"乗霄山","今州の南東海域に浮かぶ秘境。俗世から隔絶された土地。周辺海域を霧が覆っているため、普通の人の来訪は厳しいとされている。
歴史書によると、乗霄山には今州人の祖先が暮らしていたそうだ。その昔、歳主の「角」が降り立ち、時を司る力で残像に襲われた人々を守ったため、外の世界と時間の流れが異なると記されている。
かつて、稷廷の人々は乗霄山を訪れると、多くの研究設備や貴重な資料を残した。その後、彼らの行方を知る者はいない。"
"乗霄山","今州城の南東海域に浮かぶ秘境。俗世から隔絶された土地。周辺海域を霧が覆っているため、普通の人の来訪は厳しいとされている。
歴史書によると、乗霄山には今州人の祖先が暮らしていたそうだ。その昔、歳主の「角」が降り立ち、時を司る力で残像に襲われた人々を守ったため、外の世界と時間の流れが異なると記されている。
かつて、稷廷の人々は乗霄山を訪れると、多くの研究設備や貴重な資料を残した。その後、彼らの行方を知る者はいない。"
"乗霄山・龍眠庭","歳主と共に現れた装置。臥龍の丘の奥深くに隠されており、虹鎮の人々からは龍眠庭と呼ばれている。
遠い星より来訪した歳主の「角」が休むための場所。
そして、歳主との謁見が叶う場所でもあり、今州を未来に繋ぐ場所でもある。"
"乗霄山・龍眠庭","歳主と共に現れた装置。臥龍の丘の奥深くに隠されており、虹鎮の人々からは龍眠庭と呼ばれている。
遠い星より来訪した歳主の「角」が休むための場所。
そして、歳主との謁見が叶う場所でもあり、今州を未来に繋ぐ場所でもある。"
"仮想訓練場","戦闘訓練に使用する人工の音場。試練をクリアすると、様々な強化素材を獲得できる。"
"凝素領域","凝素領域は特別な音場であり、その中はある瞬間をとどめた、停滞した空間である。そしてその奥深くにはキャラや装備を強化できる海蝕産物が眠っている。"
"凝素領域","凝素領域は特別な音場であり、その中はある瞬間をとどめた、停滞した空間である。そしてその奥深くにはキャラや装備を強化できる海蝕産物が眠っている。"
"仮想訓練","様々な目的を達成するために、人々は多くの人造ソノラを作った。"
"仮想訓練","様々な目的を達成するために、人々は多くの人造ソノラを作った。"
"逆境深塔","現在開発中の人工ソノラ戦力演算プロジェクト。
逆境深塔の実験フィールドは、華胥研究院が稷廷の大型実験場跡地を改造したものだという。"
"無冠者の像・心臓","未だ燃え尽きぬ残り火、目に浮かぶあの光景。
再びこの地に踏み入れると、災厄が響きだし、「兵刃」との戦いの記憶が蘇った。"
"罪あるものの曲用","無知なる者は発展への歩みを止め、罪なき者は与えられた非難を背負い続ける。風に舞う余燼、数年前のあの夜から今なお燃え続ける大火は、傷の苦痛と思想の再生を旧世界の秩序の破滅へと導く。"
"心の集域","廃墟の中には、混沌とした悪夢が潜んでいる…"
"心の集域","列車の中に入ると、あなたはもう夢の国に身を置いた。"
"心の集域","湖の中では、不気味な虚言が漂っている…"
